gene	HC1	HC2	HC3	HC4	M1	M2	M3	S1	S2	S3	S4	S5	S6
TPTE	1	3	2	0	6	8	0	0	0	0	0	0	0
AP001347.1	6	0	1	3	14	14	0	5	8	2	3	0	0
RBM11	199	76	74	14	317	364	6	115	63	29	1	5	5
HSPA13	407	252	583	66	586	556	28	792	1200	74	184	235	105
SAMSN1	1248	783	1629	146	2543	1243	125	6595	14519	1225	1534	2227	1236
AF127936.2	5	0	7	0	17	15	0	6	4	0	0	0	0
AF127936.1	5	0	1	0	408	239	7	94	122	3	26	28	4
AF127577.4	53	54	49	4	55	56	0	46	39	3	4	4	1
LINC02246	4	8	11	0	7	8	0	5	7	0	0	0	0
NRIP1	1789	1326	2351	129	6469	5313	104	3263	4482	199	627	284	232
AJ009632.2	30	135	14	0	135	66	0	8	9	0	4	2	2
AJ009632.1	5	6	0	0	9	4	0	0	0	0	0	0	0
USP25	1147	678	1583	209	1979	1873	38	1638	3481	140	323	172	144
MIR99AHG	83	61	68	25	41	44	0	5	6	4	3	0	0
CXADR	124	58	80	92	375	79	1	15	44	2	7	0	7
BTG3	527	266	401	196	1492	1140	88	1786	5410	418	361	331	195
C21orf91	172	115	204	56	808	620	6	603	1185	49	119	85	63
LINC01684	32	27	19	2	219	180	1	77	117	6	17	7	15
LINC00158	1	0	0	0	7	0	0	1	19	4	0	0	0
MIR155HG	292	128	488	76	1521	1074	76	2327	5015	987	349	200	370
AP000223.1	4	4	1	0	3	0	0	4	1	0	0	1	1
MRPL39	365	169	378	79	601	650	22	418	887	57	71	65	102
ATP5PF	14421	7134	6302	2187	11290	11102	381	7590	18413	624	2392	1235	1367
GABPA	468	256	691	80	663	637	6	522	1067	41	103	45	86
APP	486	126	1569	178	2838	1067	60	2131	7093	335	726	450	341
AP001596.1	9	9	23	0	6	5	0	1	0	0	0	0	0
ADAMTS1	24	11	37	5	0	37	0	0	3	0	1	0	0
N6AMT1	181	81	149	31	282	331	4	138	232	11	40	15	27
LTN1	487	323	988	63	757	735	19	593	1180	57	125	76	100
RWDD2B	215	109	138	31	348	329	7	154	257	17	62	8	11
AF129075.2	5	6	5	1	19	17	0	32	76	4	3	3	3
USP16	1746	1068	1552	330	2722	2262	58	2512	5035	178	537	266	307
CCT8	4135	2530	4275	678	3936	4893	158	2620	6147	251	645	520	490
MAP3K7CL	304	66	222	412	910	329	10	1507	4300	30	248	255	682
AF124730.1	4	3	2	0	7	3	0	90	145	8	20	9	4
BACH1	1550	1120	2722	205	4929	3862	97	4044	14731	645	1194	567	879
BACH1-AS1	4	0	14	0	0	0	0	0	0	0	0	0	0
BACH1-IT2	10	5	26	3	10	14	0	20	56	3	10	2	3
AP000238.1	5	3	15	0	11	3	0	4	18	0	0	0	0
CLDN8	0	1	0	14	0	2	0	0	0	0	0	0	0
TIAM1	987	515	1363	132	1266	1074	34	642	778	31	131	32	93
AP000253.1	2	3	5	1	11	13	1	4	8	1	0	4	1
SOD1	14274	7407	4767	2092	13027	12381	442	6822	14013	825	1739	1615	851
AP000254.1	18	16	21	4	11	9	0	12	18	1	6	1	0
SCAF4	364	173	470	77	781	647	23	741	1760	130	177	178	103
AP000265.1	3	2	1	0	0	0	0	0	1	0	0	1	0
MIS18A	250	140	222	40	490	435	9	157	212	15	40	13	24
URB1	103	54	121	23	205	128	3	92	227	12	38	11	32
URB1-AS1	101	49	115	41	195	197	1	134	413	7	35	19	8
EVA1C	24	13	26	43	61	58	2	20	36	6	11	5	2
TCP10L	18	2	5	3	3	3	0	0	4	0	2	0	1
CFAP298	1012	539	680	247	1144	1342	39	727	951	50	183	98	71
SYNJ1	171	132	376	48	916	599	17	799	1776	53	193	96	81
PAXBP1-AS1	30	18	87	8	99	49	0	155	303	8	15	17	26
PAXBP1	341	253	698	56	427	392	17	386	842	47	95	47	47
C21orf62-AS1	29	22	24	2	37	44	1	12	30	1	4	2	1
IFNAR2	632	401	583	133	832	534	24	996	2404	91	232	195	146
IL10RB-DT	727	504	595	86	711	441	20	692	1925	115	205	158	251
IL10RB	968	622	739	122	1721	1928	80	1564	3962	194	478	328	251
IFNAR1	1504	923	1409	287	3272	2456	79	2033	5773	378	675	288	418
IFNGR2	2795	1344	2300	1042	7022	5155	216	7304	27679	745	3029	2334	1735
TMEM50B	784	469	1030	159	1323	1227	34	1192	2224	68	282	289	153
DNAJC28	56	36	37	10	91	101	3	31	85	0	8	4	1
GART	604	298	720	106	1571	1567	37	1506	3329	113	274	185	151
SON	9042	5985	5787	804	12640	12253	361	11885	22361	1237	2110	1189	1000
DONSON	48	34	65	13	139	109	5	155	409	14	47	37	15
CRYZL1	847	484	725	128	1029	945	25	481	922	58	103	76	82
ITSN1	496	474	186	35	1190	909	10	717	884	58	178	207	34
ATP5PO	9555	5571	5301	1547	1474	1079	86	1675	2520	217	320	280	198
LINC00649	99	42	72	21	119	143	1	73	107	12	20	9	6
AP000569.1	30	17	4	0	36	47	0	16	15	2	2	0	0
MRPS6	1370	633	1087	316	1830	1969	55	2511	10886	429	612	685	363
SLC5A3	268	192	449	27	206	282	11	399	3472	273	84	72	74
SMIM11A	64	39	20	1	9	5	0	2	2	0	0	0	0
KCNE1	583	485	1137	62	953	803	35	385	2667	125	135	213	94
RCAN1	188	106	360	41	824	488	64	834	3092	163	445	470	178
CLIC6	2	0	0	59	2	3	0	5	6	0	5	2	2
LINC01426	22	5	9	10	92	99	0	16	55	4	5	10	21
RUNX1	3267	1800	5272	531	4784	3915	160	3345	12172	449	1225	781	661
SETD4	224	135	257	59	487	482	18	363	620	34	67	48	34
CBR1	2822	1330	1755	534	8325	8027	314	6562	18203	539	1510	1794	341
AP000688.2	3	0	11	0	3	8	0	3	4	0	0	0	0
CBR3	108	41	44	50	106	151	18	187	802	13	82	19	38
DOPEY2	354	312	503	62	748	841	28	975	2745	128	272	169	141
AP000692.2	18	12	16	13	77	36	1	44	179	2	37	14	16
MORC3	905	481	1292	126	2232	1710	45	1736	4275	182	423	233	177
CHAF1B	14	9	16	3	33	35	1	15	35	4	11	3	4
AP000695.2	28	4	32	20	54	89	5	231	143	12	42	66	26
HLCS	198	104	172	37	208	185	8	72	231	13	27	17	22
AP000704.1	14	9	9	1	17	14	0	11	38	3	6	0	3
PIGP	2856	1746	1881	549	2309	2395	75	1332	1767	71	206	146	156
TTC3	2049	1574	3325	439	2165	2134	57	1047	2368	103	415	171	130
DSCR9	3	3	7	0	14	19	0	11	9	0	3	3	3
VPS26C	706	415	699	197	1572	1327	68	1366	3341	155	397	267	208
AP001412.1	6	4	2	2	16	18	1	17	56	3	7	11	10
AP001437.1	5	0	15	3	3	4	0	23	46	0	7	21	8
DYRK1A	396	302	820	88	611	503	22	1044	1906	114	206	135	118
KCNJ6	4	2	0	0	0	1	0	5	13	5	2	1	1
KCNJ15	2	0	3	1	3	7	0	507	1893	54	156	22	132
ETS2	858	526	1726	320	930	674	70	2627	7689	1031	1428	2629	1113
AP001043.1	6	5	35	1	34	27	0	5	13	2	6	8	1
AF064858.1	3	3	3	1	0	0	0	8	18	3	4	14	9
PSMG1	685	390	764	151	1024	1164	34	693	1318	44	213	152	130
BRWD1	602	382	988	140	1120	1069	40	961	1969	112	194	156	142
AF129408.1	8	8	4	0	1	0	0	0	6	0	0	2	0
BRWD1-AS2	5	3	8	3	14	0	0	11	21	0	2	8	11
HMGN1	7905	4970	8136	2131	14519	11587	457	7389	11817	510	2080	986	981
WRB	745	427	504	218	618	685	23	416	701	25	144	48	73
LCA5L	25	9	16	18	11	14	0	12	13	6	2	2	1
SH3BGR	75	45	60	21	106	96	0	18	44	5	11	2	4
BACE2	182	82	106	112	843	193	17	40	70	11	58	10	10
FAM3B	930	507	198	405	1267	745	12	24	104	0	8	1	4
MX2	1122	569	925	122	13616	8964	587	17168	38241	2264	4620	3112	1000
MX1	2633	1099	3022	290	55729	36802	1676	44903	123438	5563	13379	10149	2483
AP001610.2	4	0	0	0	0	0	0	0	0	0	0	0	0
RIPK4	7	1	2	10	4	6	0	4	2	1	2	0	0
PRDM15	62	38	104	33	112	140	8	82	183	11	25	11	13
C2CD2	163	138	255	33	381	248	10	116	318	8	31	10	17
ZBTB21	218	165	336	42	324	363	22	422	711	75	85	76	65
UMODL1	3	0	0	0	1	13	0	3	2	1	1	0	0
ABCG1	4598	2496	8199	987	5571	6458	189	2209	3031	215	575	155	108
TFF3	28	84	6	2001	19	17	16	126	95	27	185	6	52
TMPRSS3	1	1	0	10	0	3	0	1	12	6	1	3	1
UBASH3A	6	0	4	0	16	7	1	9	21	1	0	0	6
RSPH1	13	19	2	368	13	32	3	115	80	22	16	2	8
SLC37A1	292	159	341	139	753	639	46	730	2316	91	200	124	69
AP001625.2	2	0	0	0	4	0	0	0	2	0	0	0	0
PDE9A	212	78	172	13	354	161	11	17	30	4	4	3	0
WDR4	146	87	113	34	258	216	3	107	468	19	62	20	42
NDUFV3	3102	2019	2522	484	2954	4621	75	2667	8145	208	713	516	483
PKNOX1	356	172	352	73	643	478	25	590	1537	77	143	166	109
U2AF1	315	109	499	17	292	171	11	472	643	49	43	81	40
SIK1	5	4	23	14	8	3	3	92	48	9	8	19	2
HSF2BP	43	11	34	5	38	31	0	9	7	0	3	0	1
RRP1B	358	188	467	90	943	732	16	528	1420	35	126	43	88
PDXK	4033	1617	4044	1271	3988	3932	267	7127	18868	695	1931	1012	1161
CSTB	85333	50279	51170	20077	78123	85924	5851	118342	276086	12177	37103	13428	25098
RRP1	486	241	536	112	888	909	69	1024	2436	130	271	176	231
AATBC	215	66	170	38	191	198	4	97	237	9	5	11	15
AGPAT3	683	307	523	150	1389	1187	49	1482	3942	151	439	244	190
TRAPPC10	414	314	430	67	365	330	15	346	845	53	93	53	58
GATD3A	28	443	37	5	650	181	19	327	200	59	101	26	70
LINC01678	489	341	429	56	594	640	14	156	593	32	109	135	42
AP001056.2	7	4	6	0	13	12	0	19	50	4	9	3	2
ICOSLG	168	108	247	32	124	144	7	209	750	54	64	81	21
AP001059.3	10	8	14	4	0	4	0	3	4	0	0	9	1
AP001059.2	3	0	20	3	2	0	0	3	9	0	0	0	1
PFKL	2180	1102	2637	528	3308	3166	114	2068	5482	231	722	395	271
C21orf2	552	332	495	185	701	655	22	291	737	39	161	86	40
AP001062.1	12	15	12	4	41	29	1	40	50	6	19	9	4
TRPM2	37	53	94	13	649	421	41	925	2723	200	257	233	102
TRPM2-AS	6	0	4	0	0	1	0	0	2	0	0	0	0
LRRC3	52	20	33	11	136	110	8	257	559	22	49	38	16
TSPEAR-AS1	1	4	16	0	13	5	0	0	0	0	0	0	0
UBE2G2	1239	660	1684	281	1808	1793	40	848	1995	95	258	121	195
SUMO3	5912	3027	4432	1507	7496	6582	166	4078	9971	359	1283	1069	598
PTTG1IP	3453	1547	2572	601	9202	6905	218	5570	9072	377	1403	815	769
ITGB2	13994	6646	13165	2673	19458	19082	602	13176	41514	1651	5050	1329	2134
ITGB2-AS1	42	8	22	12	90	35	1	85	317	15	61	9	46
LINC01547	13	4	7	2	37	33	2	19	42	2	11	9	6
FAM207A	698	332	565	160	1175	1037	30	840	2431	68	345	195	195
AP001505.1	25	10	30	3	10	8	0	15	12	1	1	2	2
ADARB1	16	11	10	1	48	25	6	326	572	27	79	30	38
POFUT2	96	66	112	34	213	195	10	288	537	42	90	54	61
COL18A1	5	12	47	3	46	10	1	19	29	7	5	5	1
SLC19A1	459	224	587	118	563	562	6	130	283	16	58	18	20
LINC01694	23	14	25	7	43	33	0	3	23	3	0	1	2
PCBP3	3	6	9	0	13	14	0	29	32	5	9	9	1
COL6A1	358	98	184	37	72	326	13	20	84	5	64	1	20
COL6A2	143	7	40	29	8	151	3	3	21	0	16	0	1
SPATC1L	297	118	268	26	379	221	3	88	202	10	34	6	24
AP001468.1	3	0	0	0	1	1	0	0	3	0	0	0	0
LSS	177	133	99	61	328	342	24	441	1105	225	125	37	38
MCM3AP-AS1	7	9	16	2	18	8	0	6	28	5	5	3	2
MCM3AP	430	221	520	90	1144	834	25	717	1801	105	232	144	90
AP001469.3	20	10	69	1	20	13	1	21	54	4	10	5	1
YBEY	2091	623	1478	58	869	601	23	466	694	29	54	100	72
C21orf58	55	29	52	68	38	43	1	29	49	6	6	1	6
PCNT	219	124	290	33	507	558	7	206	352	32	69	23	22
DIP2A	404	265	603	45	570	485	22	587	1011	103	112	92	88
S100B	76	5	229	11	30	28	3	270	256	10	38	12	10
PRMT2	5304	2837	2517	493	3607	3187	129	3269	6134	418	701	326	372
MT-ND1	59980	38160	140971	22972	66756	56178	2876	51906	197270	7404	24286	13292	15315
MT-ND2	101128	78622	145274	46865	51664	52071	2959	50074	155381	7616	17629	11403	12355
MT-CO1	213701	126870	484370	99760	194151	178283	9609	179970	616289	29406	109397	33882	57803
MT-CO2	151072	84841	326523	53263	185837	182304	8624	252209	636790	20808	104715	40442	54604
MT-ATP8	886	1247	530	22	34681	26995	1560	19816	111021	4442	3631	1608	4711
MT-ATP6	40865	29577	205799	21639	28722	37265	1478	35328	171200	4484	35821	20696	20575
MT-CO3	133927	104368	340496	69440	68279	55767	4178	53462	216428	6895	45281	20066	29214
MT-ND3	60925	98039	237107	25712	53977	73738	3333	72079	319672	7397	40229	16865	29194
MT-ND4L	4576	5838	4319	571	40833	39740	1911	30992	115917	5639	22715	8049	15723
MT-ND4	78464	59558	159879	36809	22441	27263	1299	50685	184993	7201	22148	10184	15058
MT-ND5	15730	14024	36106	5771	28082	28099	1126	23638	58282	3878	12087	5596	11838
MT-ND6	2283	1533	1938	345	10060	10284	354	7079	14435	921	3137	1262	3127
MT-CYB	52937	34619	132977	31690	39841	44163	2235	38568	147852	5069	31319	12747	16465
AC145212.1	25	5	0	5	26	31	1	2	23	1	2	2	0
MAFIP	26	8	3	7	404	339	12	48	232	31	6	13	6
AC011043.1	11	39	143	4	266	136	3	48	31	14	9	12	11
AL592183.1	84	20	0	4	65	54	1	57	95	2	6	6	2
AC007325.4	304	80	147	47	2	6	0	9	4	2	3	0	1
AL354822.1	31	20	38	9	74	56	1	6	37	8	5	2	7
AC240274.1	99	102	90	27	542	321	7	98	77	10	20	10	1
LINC01786	0	3	3	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	1	0	1	0	10	11	3	2	1	0
LINC00337	0	4	6	1	7	1	0	7	2	0	1	1	0
AC243836.1	0	2	3	0	0	10	0	0	0	0	0	0	0
AL109936.2	0	5	6	1	0	3	0	0	0	0	0	0	0
CNR2	0	3	1	0	2	0	0	0	0	0	0	0	0
AL031432.3	0	1	5	3	5	5	0	9	34	1	2	5	2
SFN	0	1	0	6	0	1	0	5	99	3	23	5	8
AL360012.1	0	3	23	0	0	0	0	3	7	0	0	2	3
LINC01778	0	3	0	0	0	0	0	0	0	1	0	0	0
GJB5	0	1	0	1	0	0	0	0	0	0	1	0	0
HEYL	0	6	6	1	14	10	0	6	5	0	3	0	0
AC093151.3	0	3	0	0	0	3	0	0	0	0	0	0	0
FOXO6	0	3	5	0	0	1	0	3	2	0	0	1	1
CLDN19	0	4	0	0	0	0	0	0	0	0	0	0	0
SZT2-AS1	0	2	0	0	2	1	0	0	1	0	0	0	1
AL451062.3	0	4	0	0	13	7	0	3	5	4	0	0	0
AL109659.2	0	1	2	1	3	0	0	0	0	0	0	0	0
TTC39A	0	2	0	8	24	23	2	18	43	2	4	3	0
AC104170.1	0	3	0	0	1	1	0	2	3	0	0	0	0
AL050343.2	0	2	5	0	0	0	0	0	2	0	0	0	0
CYP2J2	0	1	1	18	8	2	1	5	11	0	7	3	0
CACHD1	0	1	0	3	0	0	0	1	7	1	0	0	0
CLCA2	0	3	0	24	0	0	2	0	1	0	1	0	0
VAV3-AS1	0	5	5	0	35	26	0	28	54	0	14	12	22
GSTM1	0	21	0	0	0	0	0	262	0	30	0	79	0
LINC02586	0	3	3	0	3	5	0	3	10	0	0	1	1
AL355816.1	0	3	3	0	5	3	0	4	3	2	0	0	0
MAB21L3	0	2	2	0	4	2	0	7	5	1	2	1	1
VTCN1	0	1	0	3	0	0	0	0	0	0	0	0	0
AC245008.1	0	5	0	0	2	0	0	7	0	0	0	0	1
ANKRD34A	0	2	3	0	8	10	1	10	21	0	1	2	0
AC239803.3	0	2	4	0	0	0	0	1	2	0	0	0	0
AC245100.7	0	5	4	0	3	3	0	0	2	0	0	0	0
HIST2H2AA3	0	3	6	0	0	0	0	0	2	2	0	0	0
AL590133.2	0	3	0	0	2	0	0	0	5	0	0	0	0
SPRR3	0	11	0	0	145	9	0	36	169	0	6	1	0
SPRR2A	0	9	0	0	0	2	0	2	55	0	0	0	0
EFNA1	0	1	0	11	3	2	0	7	22	3	1	0	2
TSACC	0	4	4	1	6	15	0	9	8	0	3	0	2
LINC01133	0	1	0	5	3	1	0	8	16	2	2	2	0
AL139011.2	0	3	2	0	0	0	0	0	0	0	0	0	0
AL590714.1	0	4	6	0	7	8	0	7	19	0	2	0	5
SH2D1B	0	1	0	0	1	0	0	31	24	0	1	0	0
FMO3	0	1	0	5	0	1	0	1	1	1	0	1	0
AXDND1	0	1	1	1	2	1	0	4	22	3	4	0	3
AL355482.2	0	4	2	0	1	1	0	0	0	0	0	0	0
AL445483.1	0	3	0	0	0	3	0	7	8	1	0	0	0
PKP1	0	2	0	0	0	0	0	0	5	1	0	0	0
ESRRG	0	0	0	1	1	1	0	2	2	1	0	0	0
TGFB2	0	5	24	0	10	4	2	13	6	5	0	3	2
LINC01705	0	17	6	0	33	0	0	59	113	163	4	9	27
LINC01354	0	3	2	1	0	2	0	3	3	0	5	2	2
OR2B11	0	3	0	0	0	2	0	7	12	0	4	4	0
ALKAL2	0	32	2	0	0	0	0	0	1	0	0	0	0
MYT1L	0	3	1	0	0	0	0	6	3	0	0	0	1
RNF144A	0	3	6	0	17	14	4	38	211	13	13	8	16
AC008073.3	0	4	1	0	5	7	0	3	1	0	1	0	0
AC104695.2	0	4	0	0	6	2	0	16	8	3	2	6	4
AC016907.2	0	1	4	0	2	2	0	3	0	1	0	0	0
SRD5A2	0	2	0	22	1	0	0	3	1	1	0	0	0
AC019129.2	0	3	10	1	5	5	0	9	36	0	3	2	3
SIX2	0	0	0	3	0	0	0	3	2	0	4	0	0
STON1-GTF2A1L	0	4	0	0	23	75	0	0	0	0	0	0	0
OTX1	0	0	0	7	1	1	0	5	1	2	2	0	0
MEIS1	0	2	0	2	3	3	0	6	10	2	2	1	4
ASPRV1	0	3	3	2	5	5	2	10	37	9	0	1	0
AC006030.1	0	1	0	0	0	0	0	2	1	0	0	1	0
DQX1	0	2	5	2	5	4	0	0	9	0	0	1	1
AC007681.1	0	2	2	0	2	1	2	2	2	0	0	0	1
PROM2	0	2	1	5	3	6	1	3	12	0	1	1	0
ADRA2B	0	4	2	0	0	0	0	0	17	0	3	0	0
RFX8	0	6	2	0	0	0	0	4	6	1	4	0	0
IL1RL1	0	0	2	1	5	0	0	3	61	0	2	9	1
AC104653.1	0	32	5	10	6	10	0	9	8	9	1	0	0
AC093901.1	0	4	3	0	0	4	0	1	4	0	1	1	0
INHBB	0	3	1	14	1	0	0	2	6	3	1	0	0
AC097532.2	0	4	3	0	2	3	0	0	4	0	0	0	0
AC092620.1	0	3	2	0	0	0	0	6	5	0	2	0	1
LINC02478	0	6	0	1	0	0	0	6	7	3	1	2	2
XIRP2	0	9	1	0	0	4	0	0	0	0	0	0	0
AC013468.1	0	7	11	1	3	0	0	0	7	0	0	0	3
KIAA2012	0	2	0	9	9	3	0	5	0	0	0	1	1
AC079354.1	0	1	0	1	1	1	0	0	2	0	0	0	0
KCNE4	0	2	0	2	0	0	0	0	0	0	0	1	0
AC105760.1	0	3	0	0	0	2	0	0	0	0	0	0	0
KLHL30	0	1	15	0	7	8	0	6	7	0	0	0	0
ERFE	0	1	1	0	3	0	0	3	5	0	3	1	0
TWIST2	0	7	3	1	11	7	0	12	15	0	1	1	1
AC068313.1	0	1	5	0	0	0	0	0	1	0	0	0	0
SRGAP3-AS4	0	2	0	1	0	0	0	1	0	0	0	0	0
SLC22A14	0	4	0	0	0	0	0	2	4	0	0	0	0
ACKR2	0	2	0	1	3	4	0	1	3	0	0	0	0
SLC6A20	0	0	0	2	0	0	0	1	6	0	0	0	0
LTF	0	2	0	34	3	1	0	5	15	3	1	13	0
TREX1	0	5	0	0	1043	730	32	645	1614	233	168	239	31
AMIGO3	0	2	0	0	0	0	0	0	0	0	0	0	0
CNTN3	0	0	0	9	1	1	0	1	0	0	0	0	0
STX19	0	2	0	6	0	0	0	1	6	0	0	0	0
MUC13	0	1	1	9	2	0	0	5	5	1	5	2	1
KLF15	0	4	4	1	1	4	0	1	4	2	1	0	1
RAB6B	0	0	0	7	2	0	0	1	0	0	0	0	1
AMOTL2	0	2	0	3	97	46	5	178	279	23	20	2	2
AC024933.1	0	4	5	1	0	0	0	0	0	0	0	0	0
CLSTN2	0	1	0	3	0	0	0	3	1	0	0	1	0
AC117395.1	0	2	1	1	2	2	0	18	28	0	7	3	0
LINC00880	0	3	3	0	1	0	0	0	5	8	0	0	0
AC078802.1	0	4	1	2	4	3	0	6	11	0	1	3	1
CCDC39	0	1	3	5	6	3	0	5	3	0	0	0	3
CCDC39.1	0	0	0	8	0	0	0	1	2	1	0	0	1
UTS2B	0	3	0	0	6	1	0	0	1	0	0	0	2
LINC02036	0	3	1	0	3	0	0	0	0	0	0	0	0
AC024560.1	0	3	6	0	4	4	0	7	20	2	11	7	1
AC055764.2	0	2	4	2	4	5	0	9	36	1	6	3	3
NAT8L	0	8	3	0	3	9	0	0	8	0	0	0	2
AC007370.2	0	2	2	1	1	0	0	0	0	0	0	0	0
AC006160.1	0	20	3	0	10	8	0	9	26	3	0	0	1
ADGRA3	0	5	4	6	2	1	0	2	5	0	1	1	0
TMPRSS11B	0	1	0	0	46	2	0	9	19	0	0	0	0
UGT2A1	0	1	0	22	0	0	1	5	1	0	0	0	1
CSN1S1	0	3	0	0	0	0	0	0	0	0	0	0	0
SLC4A4	0	2	0	23	0	0	0	3	3	1	6	0	1
ART3	0	4	0	0	6	4	0	7	14	1	2	2	0
ARHGEF38	0	0	0	1	21	17	1	12	30	9	1	4	0
DKK2	0	3	6	0	4	3	0	26	66	2	21	0	0
SYNPO2	0	3	1	0	52	40	0	49	94	3	5	4	6
AC096711.3	0	1	0	0	4	5	0	6	2	3	5	0	1
AC096711.1	0	4	0	0	0	2	0	0	0	0	0	0	0
TIGD4	0	3	2	3	7	5	0	5	10	0	1	0	0
FHDC1	0	3	3	3	2	1	0	6	7	2	3	1	0
SMIM31	0	1	0	19	0	2	2	4	4	0	3	0	1
AC114291.1	0	75	152	0	0	0	0	0	0	0	0	0	0
AC091891.2	0	1	2	0	0	0	0	5	7	5	0	0	1
SNHG18	0	1	0	12	0	0	0	7	7	1	3	0	0
LINC01513	0	0	0	18	0	0	0	1	3	0	0	0	0
AC025178.1	0	3	0	0	4	8	0	15	21	3	2	0	1
PRLR	0	3	0	0	97	52	9	313	1081	53	22	33	2
LIFR-AS1	0	1	0	3	2	0	0	0	5	0	1	0	0
C6	0	1	0	31	0	0	1	1	0	0	0	0	0
AC008875.1	0	3	16	2	18	9	0	3	13	2	0	3	2
AC112187.3	0	2	3	0	0	0	0	0	0	0	0	0	0
LINC02057	0	0	0	3	1	0	0	4	2	0	2	0	0
LINC02056	0	3	20	0	2	6	0	11	9	2	0	0	0
SV2C	0	1	1	2	2	4	0	0	12	0	1	2	0
F2RL1	0	1	6	2	3	4	0	6	33	2	5	5	3
ANKRD34B	0	7	3	0	0	0	0	0	8	0	0	0	0
LINC01554	0	2	18	1	12	9	0	10	12	3	7	6	2
LINC02062	0	4	6	1	25	24	4	61	114	10	16	5	4
FBN2	0	3	4	1	11	14	2	54	113	1	21	6	6
AC116366.1	0	1	8	0	12	10	0	185	382	17	87	46	7
GDF9	0	3	2	1	6	2	0	3	11	1	11	3	2
PCDHGA3	0	3	0	0	0	0	0	0	0	0	0	0	0
PCDHGA5	0	5	2	0	2	0	0	0	0	0	0	0	1
PCDHGA6	0	4	8	0	2	0	0	2	3	0	0	0	0
PCDHGA11	0	2	1	0	4	4	0	3	3	0	0	0	0
PCDHGA12	0	4	0	0	20	19	0	0	6	0	2	0	0
PCDH1	0	0	0	4	0	1	0	1	4	1	2	2	1
SPINK5	0	0	0	0	2	2	0	10	15	2	2	0	0
CARMN	0	3	1	0	0	0	0	0	1	0	0	0	0
AC091982.3	0	4	4	0	320	252	0	74	140	9	17	14	19
FOXI1	0	1	0	0	0	0	0	1	0	0	1	0	0
AC008619.1	0	3	3	0	3	4	0	0	0	0	0	0	0
NSG2	0	4	3	0	4	0	0	0	3	4	0	0	0
ZFP2	0	2	0	1	6	5	0	2	4	2	1	2	0
ZNF454	0	3	0	1	1	3	0	0	1	0	0	0	0
GRM6	0	5	2	0	0	0	0	0	0	0	0	0	0
BTNL3	0	6	0	0	11	0	0	0	0	0	0	0	0
BTNL9	0	0	1	3	0	0	0	1	1	0	0	0	3
AC138035.1	0	3	10	0	18	16	0	13	30	5	6	3	2
AL138885.3	0	3	3	0	5	1	0	0	6	1	0	0	2
AL353759.1	0	2	13	0	5	6	0	5	16	0	3	0	3
AL513548.3	0	0	0	0	0	0	0	0	0	0	0	0	1
MUC22	0	1	0	0	0	0	0	0	0	0	0	0	0
TNXB	0	3	2	0	6	2	1	0	10	5	0	1	3
AL138889.1	0	2	0	0	0	2	0	0	0	0	0	0	0
TCP11	0	7	1	3	16	10	0	0	0	0	0	0	1
C6orf223	0	0	1	3	2	5	1	12	23	4	7	6	5
PTCHD4	0	6	5	0	347	300	5	34	45	5	3	8	0
LINC01564	0	0	1	5	0	0	0	0	0	2	0	0	1
TBX18	0	8	0	0	4	0	0	0	0	0	0	0	0
GJB7	0	2	0	6	0	0	0	0	0	0	0	0	0
WASF1	0	3	2	1	4	16	0	35	96	9	8	2	6
SLC22A16	0	1	10	2	75	60	2	100	640	8	57	110	16
AC002464.1	0	5	7	0	39	20	0	37	88	0	5	14	4
AL353596.1	0	3	2	2	12	8	0	6	50	2	0	3	4
AL590867.1	0	2	0	0	10	5	0	0	2	6	0	1	1
AL355297.4	0	3	6	0	1	2	0	1	5	0	1	0	2
AL078604.2	0	3	2	0	6	0	0	14	89	47	2	0	0
MAS1	0	3	4	0	0	1	0	10	9	7	0	2	0
BX322234.1	0	6	3	3	92	66	0	58	41	6	9	1	3
AC102953.2	0	6	7	1	5	6	0	2	9	0	2	1	1
AMZ1	0	88	144	0	363	429	39	50	212	34	22	6	2
SDK1	0	1	0	6	1	1	0	4	5	0	2	1	0
RBAKDN	0	2	0	0	17	15	0	7	2	0	1	2	0
STEAP1B	0	2	10	1	9	14	1	16	7	0	2	7	0
KLHL7-DT	0	3	2	0	7	3	0	0	5	0	0	0	0
STK31	0	5	2	1	7	5	1	5	0	0	1	0	0
HOXA-AS2	0	3	10	0	0	0	0	2	0	0	0	1	0
AC005154.6	0	2	2	0	29	25	0	21	42	5	10	2	5
TRGV5	0	26	7	2	174	164	3	124	124	23	40	32	24
SPDYE1	0	2	5	0	14	5	0	4	9	2	1	0	0
ZNF727	0	10	0	0	5	26	0	3	5	0	0	1	0
ADAM22	0	1	2	0	2	2	0	2	6	0	0	0	1
STEAP1	0	2	0	3	0	0	0	5	2	3	8	0	2
AC007566.1	0	2	9	0	15	9	0	12	22	2	1	2	0
SPDYE3	0	2	3	0	0	2	0	0	5	0	0	0	2
HYAL4	0	5	11	0	0	0	0	0	0	0	0	0	0
SPAM1	0	3	0	0	0	0	0	0	0	0	0	0	0
FSCN3	0	3	0	0	3	0	0	0	9	0	0	0	1
LRRC4	0	2	5	17	3	0	0	27	84	2	6	6	2
LEP	0	3	16	0	0	12	0	145	37	3	58	7	0
SVOPL	0	1	1	4	1	2	0	1	4	2	1	0	1
